"","Management","Area","Order","Family","Genus","Species","Model","Meeting_or_reference","Case","Notes","Stock","age.min","age.max","G.short","G.Species","Manage.short","LME","Area.broad","Area.long","Area.narrow","Stock.short","Stock.no.species"
"DFO_4T-Fall_Clupea_harengus","DFO","4T-Fall","Clupeiformes","Clupeidae","Clupea","harengus","spawner component assessment (qSCA and qmSCA)","Turcotte et al. 2020 Fournier et al. 2012",NA,"Fall spawner catch-at-age for 4T herring fishery all gears. It is in thousands. Discards are not estimated. Catch.11 is 11+. Table 32","DFO_4T-Fall_Clupea_harengus",2,11,"C.","C. harengus","DFO-TRAC","NW Atlantic","NAFO 2-4","NAFO 2-4","Fa-SGSL","NAFO 2-4 Fa-SGSL C. harengus","NAFO 2-4 Fa-SGSL"
"DFO_4T-Spring_Clupea_harengus","DFO","4T-Spring","Clupeiformes","Clupeidae","Clupea","harengus","spawner component assessment","Fournier et al. 2012",NA,"Spring spawner catch-at-age for 4T herring fishery all gears combined. In thousands. Discards are not estimated. Catch.11 is 11+. Table 16","DFO_4T-Spring_Clupea_harengus",2,11,"C.","C. harengus","DFO-TRAC","NW Atlantic","NAFO 2-4","NAFO 2-4","Sp-SGSL","NAFO 2-4 Sp-SGSL C. harengus","NAFO 2-4 Sp-SGSL"
"DFO_4T_Hippoglossoides _platessoides","DFO","4T","Pleuronectiformes","Pleuronectidae","Hippoglossoides ","platessoides","VPA","Hillborn and Walters 1992",NA,"FK changed catch data from survey catch-at-age (table 3) to fishery (table 2 includes both discards and landings). Estimated numbers caught at age (thousands) of 4T American plaice (landings + estimated discarded catch-at-age).","DFO_4T_Hippoglossoides _platessoides",4,16,"H.","H. platessoides","DFO-TRAC","NW Atlantic","NAFO 2-4","NAFO 2-4","SGSL","NAFO 2-4 SGSL H. platessoides","NAFO 2-4 SGSL"
"DFO_4T_Scomber_scombrus","DFO","4T","Scombriformes","Scombridae","Scomber","scombrus","No model as of 2012. Censored statistical catch-at-age model (CCAM) introduced in 2017.","Van Beveren et al. 2017",NA,"Commercial catch at age in thousands in subareas 3 and 4 for years up to 2012","DFO_4T_Scomber_scombrus",1,10,"S.","S. scombrus","DFO-TRAC","NW Atlantic","NAFO 2-4","NAFO 2-4","SGSL","NAFO 2-4 SGSL S. scombrus","NAFO 2-4 SGSL"
"ICES-AFWG_NEA1-2_Gadus_morhua","ICES-AFWG","NEA1-2","Gadiformes","Gadidae","Gadus","morhua","SAM","IBP cod 2017","","Catch.15 is 15+","ICES-AFWG_NEA1-2_Gadus_morhua",3,14,"G.","G. morhua","ICES","NE Atlantic","NEA","NE Arctic","","NEA  G. morhua","NE Arctic "
"ICES-AFWG_NEA1-2_Melanogrammus_aeglefinus","ICES-AFWG","NEA1-2","Gadiformes","Gadidae","Melanogrammus","aeglefinus","SAM","WKARCT 2015","Y","Catch.13 is 13+","ICES-AFWG_NEA1-2_Melanogrammus_aeglefinus",3,13,"M.","M. aeglefinus","ICES","NE Atlantic","NEA","NE Arctic","","NEA  M. aeglefinus","NE Arctic "
"ICES-AFWG_NEA1-2_Pollachius_virens","ICES-AFWG","NEA1-2","Gadiformes","Gadidae","Pollachius","virens","SAM","Interbenchmark 2014","","Catch.13 is 13+","ICES-AFWG_NEA1-2_Pollachius_virens",3,12,"P.","P. virens","ICES","NE Atlantic","NEA","NE Arctic","","NEA  P. virens","NE Arctic "
"ICES-HAWG_ NS-IV 3a,7d_Clupea_harengus","ICES-HAWG"," NS-IV 3a,7d","Clupeiformes","Clupeidae","Clupea","harengus","FLSAM","Kell et a. 2007, WKPELA 2012","Y","","ICES-HAWG_ NS-IV 3a,7d_Clupea_harengus",0,8,"C.","C. harengus","ICES","NE Atlantic","NS","North Sea","","NS  C. harengus","North Sea "
"ICES-HAWG_CS 6a- 7b-7c_Clupea_harengus","ICES-HAWG","CS 6a- 7b-7c","Clupeiformes","Clupeidae","Clupea","harengus","FLSAM","WKWEST 2015, Kell et al. 2007","Y","","ICES-HAWG_CS 6a- 7b-7c_Clupea_harengus",1,9,"C.","C. harengus","ICES","NE Atlantic","CS","Celtic Sea","","CS  C. harengus","Celtic Sea "
"ICES-HAWG_NS_Ammodytes_tobianus","ICES-HAWG","NS","Perciformes","Ammodytidae","Ammodytes","tobianus","SMS-effort model","ICES. 2010a. Report of the Benchmark Workshop on Sandeel (WKSAN), 6–10 September 2010. Copenhagen, Denmark. ICES CM 2010/ACOM:57. 201 pp","","Data are for Subarea 1 only","ICES-HAWG_NS_Ammodytes_tobianus",0,4,"A.","A. tobianus","ICES","NE Atlantic","NS","North Sea","","NS  A. tobianus","North Sea "
"ICES-HAWG_WBS 22-24_Clupea_harengus","ICES-HAWG","WBS 22-24","Clupeiformes","Clupeidae","Clupea","harengus","FLSAM","Kell et al. 2007","Y","","ICES-HAWG_WBS 22-24_Clupea_harengus",0,7,"C.","C. harengus","ICES","NE Atlantic","BS","Baltic Sea","22-24","BS 22-24 C. harengus","Baltic Sea 22-24"
"ICES-NWWG_FA5a_Pollachius_virens","ICES-NWWG","FA5a","Gadiformes","Gadidae","Pollachius","virens","SCA","ICES 2010","","","ICES-NWWG_FA5a_Pollachius_virens",3,14,"P.","P. virens","ICES","NE Atlantic","Ice-Faroe","Faroes","5a","Ice-Faroe 5a P. virens","Faroes 5a"
"ICES-NWWG_FA5b_Melanogrammus_aeglefinus","ICES-NWWG","FA5b","Gadiformes","Gadidae","Melanogrammus","aeglefinus","XSA","","","Catch at age available, but not easily entered","ICES-NWWG_FA5b_Melanogrammus_aeglefinus",0,9,"M.","M. aeglefinus","ICES","NE Atlantic","Ice-Faroe","Faroes","5b","Ice-Faroe 5b M. aeglefinus","Faroes 5b"
"ICES-NWWG_FA5b_Pollachius_virens","ICES-NWWG","FA5b","Gadiformes","Gadidae","Pollachius","virens","XSA","WKROUND 2010","","Catch.14 is 14+","ICES-NWWG_FA5b_Pollachius_virens",3,14,"P.","P. virens","ICES","NE Atlantic","Ice-Faroe","Faroes","5b","Ice-Faroe 5b P. virens","Faroes 5b"
"ICES-NWWG_FAPL5b1_Gadus_morhua","ICES-NWWG","FAPL5b1","Gadiformes","Gadidae","Gadus","morhua","XSA","","","Catch.10 is 10+","ICES-NWWG_FAPL5b1_Gadus_morhua",2,10,"G.","G. morhua","ICES","NE Atlantic","Ice-Faroe","Faroes","5b","Ice-Faroe 5b G. morhua","Faroes 5b"
"ICES-NWWG_ICE-Summer_Clupea_harengus","ICES-NWWG","ICE-Summer","Clupeiformes","Clupeidae","Clupea","harengus","NFT-ADAPT (VPA/ADPAT version 3.3.0 NOAA Fisheries toolbox) and TASACS ( CPA module; Skagen and Skalevik 2009)","","","Catch.15 is 15+","ICES-NWWG_ICE-Summer_Clupea_harengus",3,13,"C.","C. harengus","ICES","NE Atlantic","Ice-Faroe","Iceland","","Ice-Faroe  C. harengus","Iceland "
"ICES-NWWG_ICE5a_Gadus_morhua","ICES-NWWG","ICE5a","Gadiformes","Gadidae","Gadus","morhua","ADCAM SCA","","","","ICES-NWWG_ICE5a_Gadus_morhua",1,14,"G.","G. morhua","ICES","NE Atlantic","Ice-Faroe","Iceland","5a","Ice-Faroe 5a G. morhua","Iceland 5a"
"ICES-NWWG_ICE5a_Melanogrammus_aeglefinus","ICES-NWWG","ICE5a","Gadiformes","Gadidae","Melanogrammus","aeglefinus","Adapt","","","Catch.10 is 10+","ICES-NWWG_ICE5a_Melanogrammus_aeglefinus",1,10,"M.","M. aeglefinus","ICES","NE Atlantic","Ice-Faroe","Iceland","5a","Ice-Faroe 5a M. aeglefinus","Iceland 5a"
"ICES-WGBFAS_B28.1_Clupea_harengus","ICES-WGBFAS","B28.1","Clupeiformes","Clupeidae","Clupea","harengus","XSA","","","Catch.8 is 8+","ICES-WGBFAS_B28.1_Clupea_harengus",1,7,"C.","C. harengus","ICES","NE Atlantic","BS","Baltic Sea","28","BS 28 C. harengus","Baltic Sea 28"
"ICES-WGBFAS_BS 22-32_Sprattus_sprattus","ICES-WGBFAS","BS 22-32","Clupeiformes","Clupeidae","Sprattus","sprattus","XSA, SAM under consideration","","Y","Catch.8 is 8+","ICES-WGBFAS_BS 22-32_Sprattus_sprattus",1,7,"S.","S. sprattus","ICES","NE Atlantic","BS","Baltic Sea","","BS  S. sprattus","Baltic Sea "
"ICES-WGBFAS_BS 25-29-32_Clupea_harengus","ICES-WGBFAS","BS 25-29-32","Clupeiformes","Clupeidae","Clupea","harengus","XSA, SAM under consideration","ICES CM 2013/ACOM:43","","Catch.8 is 8+","ICES-WGBFAS_BS 25-29-32_Clupea_harengus",1,7,"C.","C. harengus","ICES","NE Atlantic","BS","Baltic Sea","25-32","BS 25-32 C. harengus","Baltic Sea 25-32"
"ICES-WGBFAS_NS IIIa 22-24_Solea_Solea","ICES-WGBFAS","NS IIIa 22-24","Pleuronectiformes","Soleidae","Solea","solea","SAM","","","Catch.9 is 9+, FK added this column","ICES-WGBFAS_NS IIIa 22-24_Solea_Solea",2,8,"S.","S. solea","ICES","NE Atlantic","NS","North Sea","22-24","NS 22-24 S. solea","North Sea 22-24"
"ICES-WGBFAS_WBS-25-32_Gadus_morhua","ICES-WGBFAS","WBS-25-32","Gadiformes","Gadidae","Gadus","morhua","SAM","","","Catch.7 is 7+; corrected from Julie's to include ALL landings (comm, disc, rec). Data from 2017, in thousands.","ICES-WGBFAS_WBS-25-32_Gadus_morhua",0,7,"G.","G. morhua","ICES","NE Atlantic","BS","Baltic Sea","","BS  G. morhua","Baltic Sea "
"ICES-WGCSE_CS27.6a_Merlangius_merlangus","ICES-WGCSE","CS27.6a","Gadiformes","Gadidae","Merlangius","merlangus","TSA","Gudmundsson 1994, Fryer 2002, Needle and Fryer 2002","","Catch.7 is 7+","ICES-WGCSE_CS27.6a_Merlangius_merlangus",1,7,"M.","M. merlangus","ICES","NE Atlantic","CS","Celtic Sea","27.6a","CS 27.6a M. merlangus","Celtic Sea 27.6a"
"ICES-WGCSE_CS7a_Merlangius_merlangus","ICES-WGCSE","CS7a","Gadiformes","Gadidae","Merlangius","merlangus","SPALY update of ASAP assessment","WKIRISH3","","Catch at age does not include discards","ICES-WGCSE_CS7a_Merlangius_merlangus",1,7,"M.","M. merlangus","ICES","NE Atlantic","CS","Celtic Sea","7a","CS 7a M. merlangus","Celtic Sea 7a"
"ICES-WGCSE_CS7e-k_Gadus_morhua","ICES-WGCSE","CS7e-k","Gadiformes","Gadidae","Gadus","morhua","XSA","WKROUND 2012","","Catch data are InterCatch outputs, there is a separate table with catch-at-age used in the assessment (after sop correction)","ICES-WGCSE_CS7e-k_Gadus_morhua",1,7,"G.","G. morhua","ICES","NE Atlantic","CS","Celtic Sea","","CS  G. morhua","Celtic Sea "
"ICES-WGCSE_CS7f-7g_Solea_solea","ICES-WGCSE","CS7f-7g","Pleuronectiformes","Soleidae","Solea","solea","XSA","","","Catch.10 is 10+","ICES-WGCSE_CS7f-7g_Solea_solea",1,9,"S.","S. solea","ICES","NE Atlantic","CS","Celtic Sea","","CS  S. solea","Celtic Sea "
"ICES-WGCSE_IS27.7a_Pleuronectes_platessa","ICES-WGCSE","IS27.7a","Pleuronectiformes","Pleuronectidae","Pleuronectes","platessa","SAM","ICES WKIRISH (2017)","","Catch.8 is 8+","ICES-WGCSE_IS27.7a_Pleuronectes_platessa",1,8,"P.","P. platessa","ICES","NE Atlantic","IS","Irish Sea","7a","IS 7a P. platessa","Irish Sea 7a"
"ICES-WGCSE_IS6a-7b-7j_Dicentrarchus _labrax","ICES-WGCSE","IS6a-7b-7j","Perciformes","Moronidae","Dicentrarchus ","labrax","No assessment","","","","ICES-WGCSE_IS6a-7b-7j_Dicentrarchus _labrax",2,7,"D.","D. labrax","ICES","NE Atlantic","IS","Irish Sea","","IS  D. labrax","Irish Sea "
"ICES-WGCSE_IS7a_Gadus_morhua","ICES-WGCSE","IS7a","Gadiformes","Gadidae","Gadus","morhua","ASAP","ICES WKIRISH3 (ICES, 2017a)","","Catch.6 is 6+","ICES-WGCSE_IS7a_Gadus_morhua",0,6,"G.","G. morhua","ICES","NE Atlantic","IS","Irish Sea","","IS  G. morhua","Irish Sea "
"ICES-WGCSE_IS7e_Pleuronectes_platessa","ICES-WGCSE","IS7e","Pleuronectiformes","Pleuronectidae","Pleuronectes","platessa","XSA","","","Catch.10 is 10+","ICES-WGCSE_IS7e_Pleuronectes_platessa",2,10,"P.","P. platessa","ICES","NE Atlantic","IS","Irish Sea","7e","IS 7e P. platessa","Irish Sea 7e"
"ICES-WGCSE_IS7e_Solea_solea","ICES-WGCSE","IS7e","Pleuronectiformes","Soleidae","Solea","solea","XSA","WKFLAT (ICES 2012), IBPWCFLAT2 (ICES, 2015)","","Catch.12 is 12+","ICES-WGCSE_IS7e_Solea_solea",2,12,"S.","S. solea","ICES","NE Atlantic","IS","Irish Sea","","IS  S. solea","Irish Sea "
"ICES-WGCSE_ISbc-ek_Melanogrammus_aeglefinus","ICES-WGCSE","ISbc-ek","Gadiformes","Gadidae","Melanogrammus","aeglefinus","ASAP + XSA","","","","ICES-WGCSE_ISbc-ek_Melanogrammus_aeglefinus",0,8,"M.","M. aeglefinus","ICES","NE Atlantic","IS","Irish Sea","","IS  M. aeglefinus","Irish Sea "
"ICES-WGCSE_NS6a_Gadus_morhua","ICES-WGCSE","NS6a","Gadiformes","Gadidae","Gadus","morhua","TSA","","","Catch.7 is 7+","ICES-WGCSE_NS6a_Gadus_morhua",1,7,"G.","G. morhua","ICES","NE Atlantic","NS","North Sea","6a","NS 6a G. morhua","North Sea 6a"
"ICES-WGCSE_ROCK6b_Melanogrammus_aeglefinus","ICES-WGCSE","ROCK6b","Gadiformes","Gadidae","Melanogrammus","aeglefinus","XSA","","","Catch.7 is 7+ entered by FK","ICES-WGCSE_ROCK6b_Melanogrammus_aeglefinus",1,6,"M.","M. aeglefinus","ICES","NE Atlantic","CS","Celtic Sea","RA","CS RA M. aeglefinus","Celtic Sea RA"
"ICES-WGHANSA_SP8abd_Sardina _pilchardus","ICES-WGHANSA","SP8abd","Clupeiformes","Clupeidae","Sardina ","pilchardus","survey indices","","","Catch.8 is 8+. Data are French and Spanish commercial fleets in thousands","ICES-WGHANSA_SP8abd_Sardina _pilchardus",1,8,"S.","S. pilchardus","ICES","NE Atlantic","BoB","Bay of Biscay","","BoB  S. pilchardus","Bay of Biscay "
"ICES-WGNSSK_NS  4-6a-20_Melanogrammus_aeglefinus","ICES-WGNSSK","NS  4-6a-20","Gadiformes","Gadidae","Melanogrammus","aeglefinus","TSA","ICES WKHAD (2014)","","Potential duplicate stock? NS4-3a20-6a? Catch.15 is 15+. Model uses 8+ for years 1972-2016","ICES-WGNSSK_NS  4-6a-20_Melanogrammus_aeglefinus",0,8,"M.","M. aeglefinus","ICES","NE Atlantic","NS","North Sea","","NS  M. aeglefinus","North Sea "
"ICES-WGNSSK_NS 4,20_Pleuronectes_platessa","ICES-WGNSSK","NS 4,20","Pleuronectiformes","Pleuronectidae","Pleuronectes","platessa","AAP using FLR, splines, mgcv","","","FK replaced discards with commercial landings","ICES-WGNSSK_NS 4,20_Pleuronectes_platessa",1,10,"P.","P. platessa","ICES","NE Atlantic","NS","North Sea","4 20","NS 4 20 P. platessa","North Sea 4 20"
"ICES-WGNSSK_NS 4-3aN_Trisopterus_esmarkii","ICES-WGNSSK","NS 4-3aN","Gadiformes","Gadidae","Trisopterus","esmarkii","SESAM","ICES WKPOUR (2016), Nielsen and Berg 2016","","Seasonal SAM, Previously SXSA which stands for seasonal extended survivors analysis. Catch.4 is 4+ and catch is in millions. FK entered catch data. DK converted all numbers to thousands (Catch and Num)","ICES-WGNSSK_NS 4-3aN_Trisopterus_esmarkii",0,3,"T.","T. esmarkii","ICES","NE Atlantic","NS","North Sea","","NS  T. esmarkii","North Sea "
"ICES-WGNSSK_NS 4-6- 3a_Pollachius_virens","ICES-WGNSSK","NS 4-6- 3a","Gadiformes","Gadidae","Pollachius","virens","SAM","","","Catch in thousands, Catch.10 is 10+","ICES-WGNSSK_NS 4-6- 3a_Pollachius_virens",3,10,"P.","P. virens","ICES","NE Atlantic","NS","North Sea","","NS  P. virens","North Sea "
"ICES-WGNSSK_NS 4-7d,20_Gadus_morhua","ICES-WGNSSK","NS 4-7d,20","Gadiformes","Gadidae","Gadus","morhua","SA M","ICES WKCOD 2011","","DK entered using 2020 report","ICES-WGNSSK_NS 4-7d,20_Gadus_morhua",1,6,"G.","G. morhua","ICES","NE Atlantic","NS","North Sea","4-7 20","NS 4-7 20 G. morhua","North Sea 4-7 20"
"ICES-WGNSSK_NS 4-7d_Merlangius_merlangus","ICES-WGNSSK","NS 4-7d","Gadiformes","Gadidae","Merlangius","merlangus","FLXSA and SURBAR (and possibly SAM)","WKROUND","","Catch in thousands, ages 1-8+ for years 1990-2016 are included in final assessment","ICES-WGNSSK_NS 4-7d_Merlangius_merlangus",1,8,"M.","M. merlangus","ICES","NE Atlantic","NS","North Sea","","NS  M. merlangus","North Sea "
"ICES-WGNSSK_NS 7d._Solea_solea","ICES-WGNSSK","NS 7d.","Pleuronectiformes","Soleidae","Solea","solea","XSA","","","Catch in weight is available","ICES-WGNSSK_NS 7d._Solea_solea",1,11,"S.","S. solea","ICES","NE Atlantic","NS","North Sea","7d","NS 7d S. solea","North Sea 7d"
"ICES-WGNSSK_NS 7d_Pleuronectes_platessa","ICES-WGNSSK","NS 7d","Pleuronectiformes","Pleuronectidae","Pleuronectes","platessa","AAP","Aarts and Poos 2009","","Catch in thousands","ICES-WGNSSK_NS 7d_Pleuronectes_platessa",1,7,"P.","P. platessa","ICES","NE Atlantic","NS","North Sea","7d","NS 7d P. platessa","North Sea 7d"
"ICES-WGNSSK_NS4 _Scopthalmus_maximus","ICES-WGNSSK","NS4 ","Pleuronectiformes","Scopthalmidae","Scopthalmus","maximus","SAM","IBP 2017","Y","Discards not used, landings from 1991-1997 and 1999 not used.","ICES-WGNSSK_NS4 _Scopthalmus_maximus",1,8,"S.","S. maximus","ICES","NE Atlantic","NS","North Sea","","NS  S. maximus","North Sea "
"ICES-WGNSSK_NS4 _Solea_solea","ICES-WGNSSK","NS4 ","Pleuronectiformes","Soleidae","Solea","solea","AAP","Aarts and Poor 2009","","Catch in thousands","ICES-WGNSSK_NS4 _Solea_solea",1,10,"S.","S. solea","ICES","NE Atlantic","NS","North Sea","4","NS 4 S. solea","North Sea 4"
"ICES-WGWIDE_NEA 1,2,5,4a,14a_clupea_ harengus","ICES-WGWIDE","NEA 1,2,5,4a,14a","Clupeiformes","Clupeidae","clupea","harengus","XSAM","WKPELA 2016, Aanes 2016a and 2016b","","Catch in thousands. Catch.15 is 15+","ICES-WGWIDE_NEA 1,2,5,4a,14a_clupea_ harengus",2,12,"C.","C. harengus","ICES","NE Atlantic","NEA","NE Arctic","","NEA  C. harengus","NE Arctic "
"ICES-WGWIDE_NEA 1-9,12,14_Micromesistius_poutassou","ICES-WGWIDE","NEA 1-9,12,14","Gadiformes","Gadidae","Micromesistius","poutassou","SAM","IBPBLW 2016","","Catch in thousands, discards included since 2014, 2018 values are preliminary. Catch.10 is 10+","ICES-WGWIDE_NEA 1-9,12,14_Micromesistius_poutassou",1,10,"M.","M. poutassou","ICES","NE Atlantic","NEA","NE Arctic","","NEA  M. poutassou","NE Arctic "
"NEFSC-CERT-TRAC_GB _Gadus_morhua","NEFSC-CERT-TRAC","GB ","Gadiformes","Gadidae","Gadus","morhua","ASAP (statistical catch at age)","Legault and Restrepo 1998 Wang et al. 2015 Legault 2008",NA,"Catch.16 is 16+. In thousands. Landings and discards for Canada and US","NEFSC-CERT-TRAC_GB _Gadus_morhua",1,10,"G.","G. morhua","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","EGB","NAFO 5-6 EGB G. morhua","NAFO 5-6 EGB"
"NEFSC-GARMIII_5Y_Glyptocephalus_cynoglossus","NEFSC-GARMIII","5Y","Pleuronectiformes","Pleuronectidae","Glyptocephalus","cynoglossus","no accepted model as of 2016","",NA,"landings and discards included. Total USA commercial catch (thousands of fish) at age of witch flounder","NEFSC-GARMIII_5Y_Glyptocephalus_cynoglossus",3,11,"G.","G. cynoglossus","NEFSC","NW Atlantic","NAFO 5-6","NAFO 5-6","","NAFO 5-6  G. cynoglossus","NAFO 5-6 "
