,Genus,Species,Assessor_ID,unique_ID,Num.x,WA.x,Age,M,Sources,Age comment ,M comment,Weight comment,Catch,Notes
36,Atheresthes,stomias,AFSC,AFSC_stomias_BSAI-Males,1,2,2,2,BSAI Atheresthes stomas.pdf,"Age at Maturity from Zimmerman 1997 (note typo in text) (Table 6.7), though says for females it's the only study with males included. Looked in Zimmerman paper and I have no idea how they got this info, but going with it..",In summary table at the top,In a non-standard table (Table 6.7),,
15,Melanogrammus,aeglefinus,CERT-TRAC,CERT-TRAC_aeglefinus_GB,1,1,2,2,GB Melanogrammus aeglefinus.pdf,Found in Table 27,"In text, page 12 and various other places.",NA,,
4,Gadus,morhua,DFO,DFO_morhua_3PS,1,1,1,0,3PS gadus morhua.pdf,,,,,The assessment is a cohort analysis so were removed
6,Melanogrammus,aeglefinus,DFO,DFO_aeglefinus_4X5Y,1,1,0,0,4X5Y Melanogrammus aeglefinus.pdf,,,,,Data were from index not model so removed
83,Gadus,morhua,DFO,DFO_morhua_2J3KL,1,1,3,1,2J3KL Gadus morhua.pdf,"From Cadigan 2015 CJFAS paper, Table 3",,,,"The Catch was estimated using the F at age data, so -log(F) * Biomass"
5,Hippoglossoides,platessoides,DFO,DFO_platessoides_4T,1,1,1,2,4T hippoglossoides platessoides.pdf,,"Figure 21 M values extracted using ""Web Digitizer""",,,
2,Gadus,morhua,DFO-GSL,"DFO-GSL_morhua_3Pn, 4RS",1,1,1,2,3Pn_4RS Gadus morhua,,Table 21,,,
3,Gadus,morhua,DFO-GSL,"DFO-GSL_morhua_4T,4VN",1,1,2,2,4T_4VN Gadus morhua,Table 13,"Figure 38 values extraced using ""Web Digitizer"" using VPA model",,,
7,Clupea,harengus,DFO-GSL,DFO-GSL_harengus_4T-Spring,1,1,2,2,4T Clupea harengus,Table 27,Given in line on page 23,,,
8,Clupea,harengus,DFO-GSL,DFO-GSL_harengus_4T-Fall,1,1,2,2,4T Clupea harengus,Table 43,Given in line on page 36,,,
10,Scomber,scombrus,DFO-QC,DFO-QC_scombrus_4T,1,1,1,2,4T_Scomber_scombrus,,Table 8,,,
69,Melanogrammus,aeglefinus,ICES-AFWG,"ICES-AFWG_aeglefinus_NEA 1,2",1,1,1,1,AFWG report 2017.pdf,,,,In thousands of indivduals,
70,Gadus,morhua ,ICES-AFWG,"ICES-AFWG_ morhua _NEA 1,2",1,1,1.5,1,AFWG report 2017.pdf,"Table 3.11, data was partially in here, but was missing 1946-83",,,In thousands of indivduals,"The first 40 years of Age at maturity was missing, the rest was there."
71,Gadus,morhua,ICES-AFWG,"ICES-AFWG_morhua_COASTNOR 1,2",1,1,1,2,AFWG report 2017.pdf,,Inline text Page 58,,In thousands of indivduals,The Catch is estimated using Numbers from Table 2.1c in 1000s
68,Pollachius,virens,ICES-AFWG,"ICES-AFWG_virens_NEA 1,2",1,3,1,2,AFWG report 2017.pdf,I imputed the maturity from 1970 to 1984 to be 1985 values,Inline text Page 269,"They forgot to put the W at Age table in, using the data from the 2020 Assessment",In thousands of indivduals,
103,Sebastes,mentella,ICES-AFWG,ICES-AFWG-DEEP1-2,1,1,1,2,AFWG report 2017.pdf,,,Note that the W@age only starts at Age 6 but the model has numbers for age 2 onwards.,In thousands of indivduals,"The Numbers in the age 13-19 age groups was missing, I've added them. Also probably have to start model from Age 6 as 2-5 Numbers don't have corresponding catch (could assume 0) or Weights (tricky!)"
110,Sebastes,norvegicus,ICES-AFWG,ICES-AFWG-DEEP1-2,3,1,2,1,AFWG report 2017.pdf,Buried in Table 7.8,,,,"I included the F estimates, with those the W/A, and the catch data we can get to Biomass and Numbers, neither of which are provided in detail.  That said, we are provided with ""Total Numbers"", which is really all we need to do what we need to do, so I added a column for that."
60,Ammodytes,dubius,ICES-HAWG,ICES-HAWG_dubius_NS,1,1,1,3,HAWG report 2016.pdf,,"Natural mortality is in Table 8.6.2 but is calculated quarterly, took the average across each quarter for the yearly estimate. I've also assumed M for Age 4 = M for Age 3",,,
63,Clupea,harengus,ICES-HAWG,"ICES-HAWG_harengus_CS 6a,7b,7c",1,1,1,1,HAWG report 2016.pdf,,,,,
64,Clupea,harengus,ICES-HAWG,ICES-HAWG_harengus_WBS 22-24,1,1,1,1,HAWG report 2016.pdf,,,,,
65,Clupea,harengus,ICES-HAWG,"ICES-HAWG_harengus_ NS-IV 3a,7d",1,1,1,1,HAWG report 2016.pdf,,,,,
54,Pollachius,virens,ICES-NWWG,ICES-NWWG_virens_FA5a,1,2,1,2,NWWG report 2016.pdf,,Mentioned sparingly in text for all NWWG stocks.  Went with 0.2 for all stocks unless otherwise indicated.  The NWWG 2020 document tended to agree with this where natural mortality is mentioned for these stocks.,,"Catch in document in Millions, converted to 1000s by DK",
55,Pollachius,virens,ICES-NWWG,ICES-NWWG_virens_FA5b,1,2,1,2,NWWG report 2016.pdf,,Mentioned sparingly in text for all NWWG stocks.  Went with 0.2 for all stocks unless otherwise indicated.  The NWWG 2020 document tended to agree with this where natural mortality is mentioned for these stocks.,"Weight in Table 8.3, was in grams, converted to KG",Catch in thousands,
56,Melanogrammus,aeglefinus,ICES-NWWG,ICES-NWWG_aeglefinus_ICE5a,1,1,1,2,NWWG report 2016.pdf,,Mentioned sparingly in text for all NWWG stocks.  Went with 0.2 for all stocks unless otherwise indicated.  The NWWG 2020 document tended to agree with this where natural mortality is mentioned for these stocks.,,,
57,Melanogrammus,aeglefinus,ICES-NWWG,ICES-NWWG_aeglefinus_FA5b,1,2,3,2,NWWG report 2016.pdf,"In the very ugly Table 5.6, so I extracted from the 2020 NWWG report, spot check indicates values are same.",Mentioned sparingly in text for all NWWG stocks.  Went with 0.2 for all stocks unless otherwise indicated.  The NWWG 2020 document tended to agree with this where natural mortality is mentioned for these stocks.,Set the 1957-1975 WA = 1976 value as was clearly done in the 2020 NWWG report,"In thousands, note that I extracted values from 2020 NWWG due to formatting issues with 2016 document, numbers largely identical, though the last few years of data wiggle by around 1%.",
58,Gadus,morhua,ICES-NWWG,ICES-NWWG_morhua_ICE5a,1,1,1,2,NWWG report 2016.pdf,,Mentioned sparingly in text for all NWWG stocks.  Went with 0.2 for all stocks unless otherwise indicated.  The NWWG 2020 document tended to agree with this where natural mortality is mentioned for these stocks.,,,
59,Gadus,morhua,ICES-NWWG,ICES-NWWG_morhua_FAPL5b1,1,1,1,2,NWWG report 2016.pdf,,Mentioned sparingly in text for all NWWG stocks.  Went with 0.2 for all stocks unless otherwise indicated.  The NWWG 2020 document tended to agree with this where natural mortality is mentioned for these stocks.,,,
111,Clupea,harengus,ICES-NWWG,ICES_NWWG-Summer,2,2,1,2,NWWG report 2016.pdf,,"M was wrong in database, fixed it","WA was in as grams, converted to KG, also the 2014 value for age 0 was missing, set it = to the 2015 value.","In thousands of indivduals (was in Millions, so I corrected that)","Numbers were in Table 11.3.2.3, given in millions, converted to thousands"
44,Gadus,morhua,ICES-WGBFAS,"ICES-WGBFAS_morhua_WBS,25-32",1,1,1,1,BS gadus morhua.pdf,,,,,
45,Clupea,harengus,ICES-WGBFAS,"ICES-WGBFAS_ harengus_BS 25-29,32",1,1,2,1,WGBFAS report 2015.pdf,Table 6.2.8,,,In thousands of individuals,"Numbers were in 10-4, so made them into 1000s, weird…"
46,Clupea,harengus,ICES-WGBFAS,ICES-WGBFAS_harengus_BS 28.1,1,1,2,1,WGBFAS report 2015.pdf,,Table 6.3.5,,In thousands of individuals,"Numbers were in 10-4, so made them into 1000s, weird…"
51,Sprattus,sprattus,ICES-WGBFAS,ICES-WGBFAS_sprattus_BS 22-32,1,1,1,1,WGBFAS report 2015.pdf,,,,In thousands of individuals,"Numbers were secrectly in millsion, converted to 1000s"
52,Solea,solea,ICES-WGBFAS,ICES-WGBFAS_ solea_NS IIIa 22-24,1,1,2,2,WGBFAS report 2015.pdf,"Knife edge, page 193",Page 193,,In thousands of individuals,
112,Gadus,morhua,ICES-WGBFAS,"ICES-WGBFAS_morhua_EBS,25-32",0,1,0,0,WGBFAS report 2015.pdf,,,,Nill,
113,Gadus,morhua,ICES-WGBFAS,ICES-WGBFAS_morhua_Kattegat,0,1,1,0,WGBFAS report 2015.pdf,,,,In thousands of individuals,Sure we could pretend M = 0.2 and do something with these data.
114,Clupea,harengus,ICES-WGBFAS,ICES-WGBFAS_harengus_BS-30,0,3,1,2,WGBFAS report 2015.pdf,,Page 397,"Table was supposed to be in the document but was missing, in the 2021 WGBFAS report 30 and 31 are combined, so I just used the 30 W@age here.",In thousands of individuals,
115,Clupea,harengus,ICES-WGBFAS,ICES-WGBFAS_harengus_BS-31,0,1,1,2,WGBFAS report 2015.pdf,,Page 422,Weights converted to kg from g,In thousands of individuals,
83,Pleuronectes,platessa,ICES-WGCSE,ICES-WGCSE_platessa_IS7e,1,1,,,WGSCE report 2017.pdf,,,,,
84,Pleuronectes,platessa,ICES-WGCSE,ICES-WGCSE_ platessa_IS27.7a,1,1,,,WGSCE report 2017.pdf,,,,,
86,Melanogrammus,aeglefinus,ICES-WGCSE,ICES-WGCSE_aeglefinus_ROCK6b,1,1,,,WGSCE report 2017.pdf,,,,,
87,Gadus,morhua,ICES-WGCSE,ICES-WGCSE_ morhua_CS7e-k,1,1,,,WGCSE report 2017.pdf,,,,,
88,Gadus,morhua,ICES-WGCSE,ICES-WGCSE_morhua_IS7a,1,1,,,WGCSE report 2017.pdf,,,,,
89,Gadus,morhua,ICES-WGCSE,ICES-WGCSE_morhua_NS6a,1,1,,,WGCSE report 2017.pdf,,,,,
74,Sardina,pilchardus,ICES-WGHANSA,ICES-WGHANSA_pilchardus_SP8abd,1,1,,,WGHANSAreport 2017.pft,,,,,
91,Pleuronectes,platessa,ICES-WGNSSK,ICES-WGNSSK_platessa_NS 7d,1,1,,,WGNSSK report 2017.pdf,,,,,
92,Pleuronectes,platessa,ICES-WGNSSK,"ICES-WGNSSK_ platessa_NS 4,20",1,1,,,WGNSSK report 2017.pdf,,,,,
93,Pollachius,virens,ICES-WGNSSK,"ICES-WGNSSK_virens_NS 4,6,3a",1,1,,,WGNSSK report 2017.pdf,,,,,
94,Solea,solea,ICES-WGNSSK,ICES-WGNSSK_solea_NS 7d.,1,1,,,WGNSSK report 2017.pdf,,,,,
96,Merlangius,merlangus,ICES-WGNSSK,ICES-WGNSSK_merlangus_NS 4-7d,1,1,,,WGNSSK report 2017.pdf,,,,,
97,Scopthalmus,maximus,ICES-WGNSSK,ICES-WGNSSK_maximus_NS 4,1,1,,,WGNSSK report 2017.pdf,,,,,
98,Melanogrammus,aeglefinus,ICES-WGNSSK,"ICES-WGNSSK_aeglefinus_NS 4-3a20,6a",1,1,,,WGNSSK report 2016.pdf,,,,,
99,Melanogrammus,aeglefinus,ICES-WGNSSK,ICES-WGNSSK_aeglefinus_NS 4-6a-20,1,1,,,WGNSSK report 2017.pdf,,,,,
100,Gadus,morhua,ICES-WGNSSK,"ICES-WGNSSK_morhua_4-7d,20",1,1,,,"4_7d,20 Gadus morhua.pdf",,,,,
90,Trisopterus,esmarkii,ICES-WGNSSK,"ICES-WGNSSK_esmarkii_NS 4, 3aN",1,0,,,WGNSSK report 2017.pdf,,,,,
77,Merlangius,merlangus,ICES-WGSCE,ICES-WGSCE_merlangus_CS27.6a,1,1,,,WGSCE report 2017.pdf,,,,,
79,Solea,solea,ICES-WGSCE,"ICES-WGSCE_ solea_CS7f,7g",1,1,,,WGSCE report 2017.pdf,,,,,
80,Solea,solea,ICES-WGSCE,ICES-WGSCE_solea_IS7e,1,1,,,WGSCE report 2017.pdf,,,,,
81,Dicentrarchus,labrax,ICES-WGSCE,"ICES-WGSCE_labrax_IS6a,7b,7j",1,1,,,WGSCE report 2017.pdf,,,,,
72,Melanogrammus,aeglefinus,ICES-WGSCE,ICES-WGSCE_aeglefinus_IS7bc-ek,1,0,,,WGSCE report 2017.pdf,,,,,
76,Merlangius,merlangus,ICES-WGSCE,ICES-WGCSE_merlangus_CS7a,1,0,,,WGSCE report 2017.pdf,,,,,
101,Micromesistius,poutassou,ICES-WGWIDE,"ICES-WGWIDE_ poutassou_NEA 1-9,12,14",1,1,,,WGWIDE report 2018.pdf,,,,,
102,Clupea,harengus,ICES-WGWIDE,"ICES-WGWIDE_ harengus_NEA 1,2,5,4a,14a",1,1,,,WGWIDE report 2018.pdf,,,,,
16,Scomber,scombrus,NEFSC,NEFSC_scombrus_NWA,1,1,2,1,NWA Scomber scombrus.pdf,Figure A7 using model parameters provided.,,,,
18,Pollachius,virens,NEFSC,NEFSC_ virens_5YZ,1,1,2,2,GB Pollachius virenus,Table C16,Table C16,,,Catch was caluclated using Biomass and F
19,Hippoglossoides,platessoides,NEFSC,NEFSC_platessoides_5YZ,1,1,2,2,GOM  Hippoglossoides platessoides 2019.pdf,Table 12,Table 12,,,
20,Pseudopleuronectes,americanus,NEFSC,NEFSC_ americanus_5Z,1,1,2,2,GB Pseudopleuronectes americanus.pdf,Table A28,Inline text page 5,,,
13,Gadus,morhua,NEFSC-GARMIII,NEFSC-GARMIII_morhua_GB,1,1,1,1,5Z Gadus morhua.pdf,,,,,
22,Limanda,ferruginea,NEFSC-GARMIII,"NEFSC-GARMIII_ferruginea_SNE, MA",1,1,2,1,SNE MA Limada ferrugina.pdf,"Figure B11, using the Female values",,,,
14,Melanogrammus,aeglefinus,NEFSC-GARMIII,NEFSC-GARMIII_aeglefinus_5Y,1,1,2,2,GOM Melanogrammus aeglefinus,Table A.7,Inline text page 34,,,
23,Urophycis,tenuis,NEFSC-GARMIII,"NEFSC-GARMIII_tenuis_GOM, GB",1,1,2,2,"GOM,GB Urophycis tenuis.pdf ",Table B65,Inline text page 524,,,
24,Paralichthys,dentatus,NEFSC-GARMIII,NEFSC-GARMIII_dentatus_MA,1,1,2,2,North Car Paralichthys dentatus.pdf,Table Page 42,Inline text page 23,,,
25,Morone,saxatilis,NEFSC-GARMIII,"NEFSC-GARMIII_saxatilis_GOM, CHATT",1,1,2,2,GOM CHATT Morone saxatilis.pdf,Table Page 540,Table Page 540,,,
26,Glyptocephalus,cynoglossus,NEFSC-GARMIII,NEFSC-GARMIII_cynoglossus_5Y,1,1,2,2,"MAINE, NH Glyptocephalus cynoglossus.pdf",Table B1,"Table B2a, says preferred is 0.2",,,
12,Gadus,morhua,NEFSC-SAW,NEFSC-SAW_morhua_GOM,1,1,2,2,GOM Gadus morhua.pdf,"Figure A.14 using the Females, extracted from figure",Page 21 says Base is 0.2,,,
17,Stenotomus,chrysops,NEFSC-SAW,NEFSC-SAW_chrysops_USATL,1,1,2,2,USATL Stenotomus chrysops,Table Page 27,Page 16,,,
11,Gadus,morhua,NEFSC-TRAC-CERT,NEFSC-TRAC-CERT_morhua_GB,1,1,2,2,GB 5Ze Gadus morhua.pdf + Yang 2015/03 TRAC doc,Age Maturity is from Yang Res Doc,"M is noted in text, using the 0.8+ model, A",,,
